fileName,alt,tags,width,height,ratio,fileNameHistory,updatedAt
piedweb-logo.png,"Pied Web Logo",,2000,2000,1,,"2026-07-07 15:41:50"
1.jpg,"Demo 1",,1024,1024,1,,"2026-07-07 15:41:50"
2.jpg,"Demo 2",,1024,1024,1,,"2026-07-07 15:41:50"
3.jpg,"Demo 3",,1022,681,1.5,,"2026-07-07 15:41:50"
logo.svg,"SVG Logo",,1000,1000,1,,"2026-07-07 15:41:50"
test.pdf,"test.pdf - 6a4e45bee6b9b",,,,,,"2026-07-07 15:41:49"
admin-blockeditor.png,"admin-blockeditor.png - 6a4e466f8f0df",,1280,800,1.6,,"2026-07-08 12:45:35"
admin-pagelist.png,"admin-pagelist.png - 6a4e466fc4386",,1280,720,1.78,,"2026-07-08 12:45:35"
altimood.png,"altimood.png - 6a4e467004448",,1280,720,1.78,,"2026-07-08 12:45:36"
editorjs.svg,"editorjs.svg - 6a4e4670388fb",,,,,,"2026-07-07 15:41:25"
kelifos.png,"kelifos.png - 6a4e467038df0",,1280,720,1.78,,"2026-07-08 12:45:36"
piedvert.png,"piedvert.png - 6a4e46706cfc3",,1280,720,1.78,,"2026-07-08 12:45:36"
piedweb.png,"piedweb.png - 6a4e4670a13b0",,1280,720,1.78,,"2026-07-08 12:45:36"
sonata.svg,"sonata.svg - 6a4e4670d570a",,,,,,"2026-07-07 15:41:25"
symfony.svg,"symfony.svg - 6a4e4670d5a86",,,,,,"2026-07-07 15:41:25"
tailwind.svg,"tailwind.svg - 6a4e4670d5d57",,,,,,"2026-07-07 15:41:25"
